1073_at	TCEA1	752.1	523	871.5	1205.6	379.9	765	829.4	603.4	398.5	845.6	865.5	462.1	821.5	914.3	881.4	1007	534.9	394.8	458.2	397.1	305.8	
1074_at	RAB1A	47.1	46.5	45.8	68.3	54.1	112	75	48.9	67.5	57.8	53.7	77.3	58.8	57.9	53.7	66	48	65.4	68.8	68.2	30.6	
1079_g_at	PRLR	3.7	10.9	22.1	23.1	27.7	25.5	7.7	18.8	24.1	8.8	26.7	44	7.7	2.8	8	13.4	74.3	7.9	11.3	11.5	14.1	
1081_at	ODC1	1233.6	1397.4	1140.6	1322.6	895.4	1319.2	1645.8	1028	908.2	992.1	936.9	1769.4	1762.4	1234.9	941.9	1102.7	703.5	1630.2	730.2	753.9	1281.3	
1082_at	PLCG1	50.6	66.2	27.5	39.6	47.1	49.2	26.8	49.8	26.1	31.6	54.3	43.2	44.8	38.4	60.7	56.5	37.1	41.6	37.2	37	30.3	
1085_s_at	PLCG2	664.8	704.4	520	521.5	645.7	829.3	688.4	1108.7	771.2	968.4	687	265.7	723.2	897.2	610.7	638.9	502.7	601.2	409.3	582.9	358.2	
1088_at	BDNF	2.9	8.9	3.6	5.4	2.8	5.5	4.4	4.2	2.1	4.2	6.2	3.1	3.9	8.4	3.8	1.8	6.6	7.6	15.3	3.8	14.9	
1089_i_at	M64936	122.7	5.4	153.3	60.4	39.8	205.5	7.6	183	118.3	19.3	150.6	8.9	65	27.1	6	92	13.4	13.3	6.9	190.4	7.3	
108_g_at	RAB40AL	21	20.3	15.8	9.1	22.8	15.8	13	83.9	21.7	18.2	24	35.1	14.3	50.1	21.6	15.3	37	11.8	42.5	18.9	19.8	
1092_at	EDN2	60.8	77.4	56	54.8	78.5	43.4	36.7	117.8	58.1	75.7	63	73.3	105.4	55.4	56.6	51.4	115.6	107.7	239.9	66	190.1	
1093_at	PPP2R1B	18.9	5.4	17.6	9.5	8.2	18.8	6.5	5.8	10	3.2	19.9	2.6	7.3	11.2	6.6	8.4	14.9	15.9	3.1	15.8	3.2	
1098_at	THPO	12.1	1.3	10.8	1.8	6.7	1.9	8.6	1.2	7	28.4	6.9	7	0.9	1.6	2.2	1.7	5.1	4.2	1.6	12.2	3.5	
1099_s_at	GSTT2B	1.4	5.9	41.3	2.7	6.5	3.5	14.8	5.3	8.4	7.8	4.2	11.8	3.9	5.6	6.8	4.3	7.4	4.9	6.6	9.2	4.3	
109_at	RABEPK	72.8	83.1	74.9	56.3	55.4	74.4	42.4	61.6	61.6	89.7	10.4	11.9	41.2	52.8	66.3	37.4	141.5	68.8	60.8	34.6	40.7	
1100_at	IRAK1	222.9	353.6	258.3	199.9	185.6	228	235.6	263.1	288.3	235.9	280.3	79.4	200.7	256.5	191.8	225.2	127.3	276.3	233	213.7	305.6	
1102_s_at	NR3C1	93.1	118.9	89.7	92	73.8	129.9	160	85.7	69.6	101.3	49	70	81.9	61.6	85.9	114.2	73.8	107.5	67.6	70.1	42.9	
1106_s_at	TRAC	1488.8	1223.2	619.6	1589.4	1209.1	1401.4	596.8	1393.4	1648.5	519.7	1129.9	462.7	915.9	1475	710.3	735.9	857.8	1117.7	808.4	1004.6	737.7	
1107_s_at	ISG15	294.4	218	206	393.2	195.2	209.7	200.6	275.1	304.7	232.5	504.5	377.6	299.7	159.2	258.5	239.9	187.2	179.8	239.7	251.2	203.1	
1109_s_at	PDGFA	7	10.7	10.6	4.8	13.4	7.9	6.4	9.4	6.6	12.4	5.8	13.2	8.2	8.5	11.2	11.8	10	8	8	10	8.8	
1111_at	NCAM1	21	24.5	1	3.5	3.7	12.3	4.1	4.2	4.9	14.1	28.6	10.4	4.2	4.7	5.4	4.3	10	2.3	5.6	8.6	9.5	
1119_at	RPA2	478.7	341.4	451.5	347.5	335.1	450	372.1	318.3	429.2	366.6	306	152.8	414	390.8	376.3	405.3	205.4	302.4	134.7	329.8	150.1	
1123_at	GHRHR	15.5	6.3	16.6	15.1	32.2	18	7.5	9.5	27.5	28	25.8	20.9	11.6	11.5	13.4	23.2	45.9	3.8	63.4	22.5	16.4	
1124_at	KMT2A	104.5	154.6	136.5	118.5	142.6	148.7	123.2	172.3	102.1	157.7	166.2	81.3	62.8	167.2	160.4	133.2	33.6	162.5	154.4	136.8	132.9	
1127_at	RPS6KA1	325.1	370.2	351.1	387.5	452.7	250.7	268.2	316.1	334.1	283.4	417.9	414.9	370.1	361.6	383.1	257.4	285.9	215.5	536.8	311.1	364.5	
112_g_at	TAF1	18.6	16.3	18.6	17	23.3	6.9	12.5	5.5	2	17.9	12.4	2.1	5.1	18.5	16.9	17.2	11.1	14.6	2.7	12.9	3.8	
1131_at	MAP2K2	356.4	357	540.7	312.8	348.3	187.1	240.5	305.9	352.6	199.5	260.8	374.7	349	353	293.1	277	103	265.7	277.6	255	332.9	
1132_s_at	RARG	39.8	52.8	35.3	52.8	55.6	34.8	25.9	66	38.2	25.2	58.7	118.4	41.2	68	48.4	47.5	21.7	52.7	39	57.5	19.4	
1133_at	EN2	25.4	3	4.6	7	10.6	2.7	3.7	5.6	2.4	18	1.2	3.5	0.7	10.9	2.8	3.9	7.1	17.4	4.2	5.9	8.8	
1135_at	GRK5	142.1	92.9	142.8	104.1	248.6	153	220.6	104.3	133.7	106.9	125	115.6	197.6	107.6	154.3	115.1	300.1	118.6	174.9	157.4	108.9	
1136_at	DTYMK	51.4	59.3	60.4	50.9	96.9	109.6	77.7	49.6	93.1	74.5	79.6	40.7	33.4	43.9	67.5	29.4	129.9	76	70.4	72.4	94.4	
1137_at	SLC20A2	5.7	24.9	3.1	13.5	15.5	9.2	12.2	9.5	3.6	5.2	27.5	3.9	22.5	21.9	14.5	16.7	18.8	22.5	8.2	1.9	13.5	
1142_at	TIGR: HG3432-HT3618	29.8	24.3	65.6	33.4	38.7	26.9	18.4	40.5	59.8	121.9	53.1	99.1	27.8	47.1	37.9	11.5	59.9	24.5	34.5	49.9	35	
1145_g_at	FGFR2	6.8	1.6	3.5	1.5	4.5	3.6	4.9	1.4	4.7	5.2	10.5	7.9	3.8	3.5	5	2.3	8.1	6.5	4.3	5.5	5.5	
